date,keyword,level_last,mean_w,slope_w,z_last,lift_vs_mean_w,lift_vs_ref,momentum_1,momentum_7,coefvar_w,days_since_peak,peak,peak_gini,burstiness,trend_strength,seasonality_strength,lift_vs_cohort_med,corr_with_cohort_med,future_mean_7d,future_max_7d,future_sum_7d,growth_label_metric,target
2022-05-15,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-05-22,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-05-29,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-06-05,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-06-12,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-06-19,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-06-26,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-07-03,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-07-10,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-07-17,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-07-24,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-07-31,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-08-07,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-08-14,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-08-21,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-08-28,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-09-04,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
